key,data_version,created,revision
wtc0001,0.92,2021-09-14,2
wtc0002,0.92,2021-09-14,2
wtc0003,0.92,2021-09-14,2
wtc0004,0.92,2021-09-14,1
wtc0005,0.92,2021-09-14,2
wtc0006,0.92,2021-09-14,2
wtc0007,0.92,2021-09-14,2
wtc0008,0.92,2021-09-14,2
wtc0009,0.92,2021-09-14,2
wtc0001,0.92,2021-09-14,2
wtc0002,0.92,2021-09-14,2
wtc0003,0.92,2021-09-14,2
wtc0004,0.92,2021-09-14,1
wtc0005,0.92,2021-09-14,2
wtc0006,0.92,2021-09-14,2
wtc0007,0.92,2021-09-14,2
wtc0008,0.92,2021-09-14,2
wtc0009,0.92,2021-09-14,2
wtc0010,0.92,2022-05-23,1
wtc0001,0.92,2021-09-14,2
wtc0002,0.92,2021-09-14,2
wtc0003,0.92,2021-09-14,2
wtc0004,0.92,2021-09-14,1
wtc0005,0.92,2021-09-14,2
wtc0006,0.92,2021-09-14,2
wtc0007,0.92,2021-09-14,2
wtc0008,0.92,2021-09-14,2
wtc0009,0.92,2021-09-14,2
wtc0010,0.92,2022-05-23,1
wtc0001,0.92,2021-09-14,2
wtc0002,0.92,2021-09-14,2
wtc0003,0.92,2021-09-14,2
wtc0004,0.92,2021-09-14,1
wtc0005,0.92,2021-09-14,2
wtc0006,0.92,2021-09-14,2
wtc0007,0.92,2021-09-14,2
